date,age_group,total_hospitalised,total_icu
2020-11-05,0 to 9,1,0
2020-11-05,10 to 19,3,1
2020-11-05,20 to 29,7,1
2020-11-05,30 to 39,16,1
2020-11-05,40 to 49,16,3
2020-11-05,50 to 59,27,3
2020-11-05,60 to 69,21,4
2020-11-05,70 to 79,18,4
2020-11-05,80 to 89,8,0
2020-11-05,90+,4,0
2020-11-05,Total,121,17
2020-11-12,0 to 9,1,0
2020-11-12,10 to 19,3,1
2020-11-12,20 to 29,7,1
2020-11-12,30 to 39,16,1
2020-11-12,40 to 49,16,3
2020-11-12,50 to 59,27,3
2020-11-12,60 to 69,22,4
2020-11-12,70 to 79,18,4
2020-11-12,80 to 89,8,0
2020-11-12,90+,4,0
2020-11-12,Total,122,17
2020-11-26,0 to 9,1,0
2020-11-26,10 to 19,3,1
2020-11-26,20 to 29,7,1
2020-11-26,30 to 39,16,1
2020-11-26,40 to 49,16,3
2020-11-26,50 to 59,27,4
2020-11-26,60 to 69,22,4
2020-11-26,70 to 79,18,4
2020-11-26,80 to 89,8,0
2020-11-26,90+,4,0
2020-11-26,Total,122,18
2020-12-02,0 to 9,1,0
2020-12-02,10 to 19,3,1
2020-12-02,20 to 29,7,1
2020-12-02,30 to 39,16,1
2020-12-02,40 to 49,16,3
2020-12-02,50 to 59,27,4
2020-12-02,60 to 69,22,4
2020-12-02,70 to 79,18,4
2020-12-02,80 to 89,8,0
2020-12-02,90+,4,0
2020-12-02,Total,122,18
2020-12-09,0 to 9,1,0
2020-12-09,10 to 19,3,1
2020-12-09,20 to 29,7,1
2020-12-09,30 to 39,16,1
2020-12-09,40 to 49,16,3
2020-12-09,50 to 59,27,4
2020-12-09,60 to 69,22,4
2020-12-09,70 to 79,18,4
2020-12-09,80 to 89,8,0
2020-12-09,90+,4,0
2020-12-09,Total,122,18
2020-12-31,0 to 9,1,0
2020-12-31,10 to 19,3,1
2020-12-31,20 to 29,7,1
2020-12-31,30 to 39,16,1
2020-12-31,40 to 49,16,3
2020-12-31,50 to 59,27,4
2020-12-31,60 to 69,22,4
2020-12-31,70 to 79,18,4
2020-12-31,80 to 89,8,0
2020-12-31,90+,4,0
2020-12-31,Total,122,18
2021-01-10,0 to 9,1,0
2021-01-10,10 to 19,3,1
2021-01-10,20 to 29,7,1
2021-01-10,30 to 39,16,1
2021-01-10,40 to 49,16,3
2021-01-10,50 to 59,27,4
2021-01-10,60 to 69,22,4
2021-01-10,70 to 79,18,4
2021-01-10,80 to 89,8,0
2021-01-10,90+,4,0
2021-01-10,Total,122,18
2021-01-13,0 to 9,1,0
2021-01-13,10 to 19,3,1
2021-01-13,20 to 29,7,1
2021-01-13,30 to 39,16,1
2021-01-13,40 to 49,16,3
2021-01-13,50 to 59,27,4
2021-01-13,60 to 69,22,4
2021-01-13,70 to 79,18,4
2021-01-13,80 to 89,8,0
2021-01-13,90+,4,0
2021-01-13,Total,122,18
2021-01-24,0 to 9,1,0
2021-01-24,10 to 19,3,1
2021-01-24,20 to 29,7,1
2021-01-24,30 to 39,16,1
2021-01-24,40 to 49,17,3
2021-01-24,50 to 59,27,4
2021-01-24,60 to 69,22,4
2021-01-24,70 to 79,18,4
2021-01-24,80 to 89,8,0
2021-01-24,90+,4,0
2021-01-24,Total,123,18
2021-01-25,0 to 9,1,0
2021-01-25,10 to 19,3,1
2021-01-25,20 to 29,7,1
2021-01-25,30 to 39,16,1
2021-01-25,40 to 49,17,3
2021-01-25,50 to 59,27,4
2021-01-25,60 to 69,22,4
2021-01-25,70 to 79,18,4
2021-01-25,80 to 89,8,0
2021-01-25,90+,4,0
2021-01-25,Total,123,18
2021-02-04,0 to 9,1,0
2021-02-04,10 to 19,3,1
2021-02-04,20 to 29,7,1
2021-02-04,30 to 39,16,1
2021-02-04,40 to 49,17,3
2021-02-04,50 to 59,27,4
2021-02-04,60 to 69,22,4
2021-02-04,70 to 79,18,4
2021-02-04,80 to 89,8,0
2021-02-04,90+,4,0
2021-02-04,Total,123,18
2021-02-18,0 to 9,1,0
2021-02-18,10 to 19,3,1
2021-02-18,20 to 29,7,1
2021-02-18,30 to 39,17,1
2021-02-18,40 to 49,17,3
2021-02-18,50 to 59,27,4
2021-02-18,60 to 69,22,4
2021-02-18,70 to 79,18,4
2021-02-18,80 to 89,8,0
2021-02-18,90+,4,0
2021-02-18,Total,124,18
2021-02-21,0 to 9,1,0
2021-02-21,10 to 19,3,1
2021-02-21,20 to 29,7,1
2021-02-21,30 to 39,17,1
2021-02-21,40 to 49,17,3
2021-02-21,50 to 59,27,4
2021-02-21,60 to 69,22,4
2021-02-21,70 to 79,18,4
2021-02-21,80 to 89,8,0
2021-02-21,90+,4,0
2021-02-21,Total,124,18
2021-02-22,0 to 9,1,0
2021-02-22,10 to 19,3,1
2021-02-22,20 to 29,7,1
2021-02-22,30 to 39,17,1
2021-02-22,40 to 49,17,3
2021-02-22,50 to 59,27,4
2021-02-22,60 to 69,22,4
2021-02-22,70 to 79,18,4
2021-02-22,80 to 89,8,0
2021-02-22,90+,4,0
2021-02-22,Total,124,18
2021-02-28,0 to 9,1,0
2021-02-28,10 to 19,3,1
2021-02-28,20 to 29,7,1
2021-02-28,30 to 39,17,1
2021-02-28,40 to 49,17,3
2021-02-28,50 to 59,27,4
2021-02-28,60 to 69,22,4
2021-02-28,70 to 79,18,4
2021-02-28,80 to 89,8,0
2021-02-28,90+,4,0
2021-02-28,Total,124,18
2021-03-01,0 to 9,1,0
2021-03-01,10 to 19,3,1
2021-03-01,20 to 29,7,1
2021-03-01,30 to 39,17,1
2021-03-01,40 to 49,17,3
2021-03-01,50 to 59,27,4
2021-03-01,60 to 69,22,4
2021-03-01,70 to 79,18,4
2021-03-01,80 to 89,8,0
2021-03-01,90+,4,0
2021-03-01,Total,124,18
2021-03-02,0 to 9,1,0
2021-03-02,10 to 19,3,1
2021-03-02,20 to 29,7,1
2021-03-02,30 to 39,17,1
2021-03-02,40 to 49,17,3
2021-03-02,50 to 59,28,4
2021-03-02,60 to 69,22,4
2021-03-02,70 to 79,18,4
2021-03-02,80 to 89,8,0
2021-03-02,90+,4,0
2021-03-02,Total,125,18
2021-03-03,0 to 9,1,0
2021-03-03,10 to 19,3,1
2021-03-03,20 to 29,7,1
2021-03-03,30 to 39,17,1
2021-03-03,40 to 49,17,3
2021-03-03,50 to 59,28,4
2021-03-03,60 to 69,22,4
2021-03-03,70 to 79,18,4
2021-03-03,80 to 89,8,0
2021-03-03,90+,4,0
2021-03-03,Total,125,18
2021-03-08,0 to 9,1,0
2021-03-08,10 to 19,3,1
2021-03-08,20 to 29,7,1
2021-03-08,30 to 39,17,1
2021-03-08,40 to 49,17,3
2021-03-08,50 to 59,28,4
2021-03-08,60 to 69,23,4
2021-03-08,70 to 79,18,4
2021-03-08,80 to 89,8,0
2021-03-08,90+,4,0
2021-03-08,Total,126,18
2021-04-19,0 to 9,1,0
2021-04-19,10 to 19,3,1
2021-04-19,20 to 29,7,1
2021-04-19,30 to 39,17,1
2021-04-19,40 to 49,17,3
2021-04-19,50 to 59,29,4
2021-04-19,60 to 69,24,4
2021-04-19,70 to 79,18,4
2021-04-19,80 to 89,8,0
2021-04-19,90+,4,0
2021-04-19,Total,128,18
2021-05-24,0 to 9,1,0
2021-05-24,10 to 19,3,1
2021-05-24,20 to 29,7,1
2021-05-24,30 to 39,17,1
2021-05-24,40 to 49,17,3
